gamma_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,gamma_instrument,Columns,fitler1,filter1_min_window,filter1_window_size,min_depth,max_depth
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019115\RN019115_Gamma_down.LAS,RN019115,628361,3,unknown,A031,GAMMA,binomial,11,11,1.1985,65.8602
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019136\RN019136_Gamma_Down.LAS,RN019136,628362,3,unknown,A031,GAMMA,binomial,11,11,1.1952,71.5452
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN019364\RN019364_Gamma_Down.las,RN019364,641189,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.735,36.245
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019387\RN019387_gamma_down.LAS,RN019387,636218,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,152.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN019449_SSC18-03\RN019449_gamma_down_surf_160m.LAS,RN019449,636124,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,159.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN019449_SSC18-03\RN019449_gamma_down_160m_292m.LAS,RN019449,636124,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,159.6987,291.9987
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019450_SSC18-38\RN019450_gamma_down.LAS,RN019450,636118,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,85.5308
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019451_SSC18-35\RN019451_gamma_down.LAS,RN019451,636122,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8308,152.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019452_SSC18-17a\RN019452_gamma_down.LAS,RN019452,636119,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,282.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019453_SSC18-39\RN019453_gamma_down.LAS,RN019453,636117,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8817,55.4817
