induction_path,WELL,UWI,DEPTH_REFERENCE_ID_x,Reference Point,induction_instrument,filter1,filter1_min_window,filter1_window_size,filter2,filter2_min_window,filter2_window_size,sampling_interval,Columns,min_depth,max_depth
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017591\RN017591_Induction_down.LAS,RN017591,628359,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9704,42.4971
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017594\RN017594_Induction_Down.LAS,RN017594,628357,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.4965,35.9128
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018133\RN018133_Induction_Down.LAS,RN018133,628367,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9725,71.8854
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN018334\RN018334_Induction_down.las,RN018334,621377,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,30.79
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN018402\RN018402_Induction_Down.LAS,RN018402,628356,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",5.0218,51.9151
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018603\RN018603_Induction_down.LAS,RN018603,628369,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9821,58.6692
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018612\RN018612_Induction_down.LAS,RN018612,628364,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",5.0578,49.5793
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018892\RN018892_Induction_Down.LAS,RN018892,628370,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9704,73.7325
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018912\RN018912_Induction_down.LAS,RN018912,628363,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9483,62.4142
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018921\RN018921_Induction_down.LAS,RN018921,628365,3,unknown,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9784,160.673
