prod_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,local_path
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN018334\RN018334_Induction_down.las,RN018334,621377,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN018402\RN018402_Induction_Down.LAS,RN018402,628356,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018603\RN018603_Induction_down.LAS,RN018603,628369,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018612\RN018612_Induction_down.LAS,RN018612,628364,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018892\RN018892_Induction_Down.LAS,RN018892,628370,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018912\RN018912_Induction_down.LAS,RN018912,628363,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018921\RN018921_Induction_down.LAS,RN018921,628365,3,unknown,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018925\RN018925_Induction_down.LAS,RN018925,628368,3,unknown,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019114\RN019114_Induction_Up_3.LAS,RN019114,628360,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019115\RN019115_Induction_down.LAS,RN019115,628361,3,unknown,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019136\RN019136_Induction_Down.LAS,RN019136,628362,3,unknown,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN019364\RN019364_Ind_Down.las,RN019364,641189,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019387\RN019387_ind_down.LAS,RN019387,636218,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN019449_SSC18-03\RN019449_ind_down.LAS,RN019449,636124,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019450_SSC18-38\RN019450_ind_down.LAS,RN019450,636118,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019451_SSC18-35\RN019451_ind_down.LAS,RN019451,636122,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019452_SSC18-17a\RN019452_ind_down.LAS,RN019452,636119,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019453_SSC18-39\RN019453_ind_down.LAS,RN019453,636117,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019454_SSC18-16\RN019454_ind_down.LAS,RN019454,636116,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019455_SSC18-23\RN019455_ind_down.LAS,RN019455,636303,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019456_SSC18-60\RN019456_ind_down.LAS,RN019456,636219,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019457_SSC18-62\RN019457_ind_down.LAS,RN019457,636220,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019673\RN019673_ind_down.LAS,RN019673,637299,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019673\RN019673_ind_up.LAS,RN019673,637299,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019674_SSC18-40\RN019674_ind_down.LAS,RN019674,636300,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019676_SSC18-41\RN019676_ind_down.LAS,RN019676,636120,10,top of casing protector,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019678\RN019678_ind_down.LAS,RN019678,636301,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019680_SSC18-54\RN019680_ind_down.LAS,RN019680,641106,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN020614\RN020614_Induction_Down.LAS,RN020614,636291,5,top of casing,
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN020967\RN020967_Induction_Down.LAS,RN020967,636298,5,top of casing,
