prod_path,local_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,,Curves,COMP,DATE,X,Y,GDAT,HZCS,LMF,APD,EPD,STRT,STOP,STEP,NULL
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore1\NTroad_bore1_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore1/NTroad_bore1_induction_down.las,NTroad_bore1,635957,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore2\NTroad_bore2_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore2/NTroad_bore2_induction_down.las,NTroad_bore2,635958,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore3\NTroad_bore3_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore3/NTroad_bore3_induction_down.las,NTroad_bore3,635959,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore4\NTroad_bore4_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore4/NTroad_bore4_induction_down.las,NTroad_bore4,635960,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN007412\RN007412_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN007412/RN007412_induction_down.las,RN007412,636181,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029933\RN029933_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029933/RN029933_induction_down.las,RN029933,636182,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029945\RN029945_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029945/RN029945_induction_down.las,RN029945,636183,10,Top of casing Protector,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030884\RN030884_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN030884/RN030884_induction_down.las,RN030884,636184,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\RN030885\RN030885_conductivity_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/RN030885/RN030885_conductivity_down.las,RN030885,636185,5,Top of bore casing,,INDUCTION_CALIBRATED,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN038543\RN038543_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN038543/RN038543_induction_down.las,RN038543,636186,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,,,,,,,,,,,
